risk_threshold,confidence_threshold,risk_accuracy,precision,recall,false_negative_rate,false_positive_rate,f1,expected_fast_selection_rate,expected_accurate_selection_rate,expected_oracle_gap
0.7,0.6,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.7,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.3325,0.6675,0.035
0.7,0.8,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.33,0.67,0.0325
0.7,0.9,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.2475,0.7525,0.01
0.7,0.95,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.155,0.845,0.0
0.75,0.0,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.1,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.2,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.3,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.4,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.5,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.6,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.345,0.655,0.0375
0.75,0.7,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.3425,0.6575,0.0375
0.75,0.8,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.34,0.66,0.035
0.75,0.9,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.25,0.75,0.01
0.75,0.95,0.4675,0.24427480916030533,0.810126582278481,0.189873417721519,0.616822429906542,0.375366568914956,0.155,0.845,0.0
0.8,0.0,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.1,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.2,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.3,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.4,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.5,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.6,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3675,0.6325,0.04
0.8,0.7,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.365,0.635,0.04
